Site Name,Address,Post Code,Location Type,Ward,Sticker,Postcode area,Site Number,UPRN,Latitude,Longitude,y,x,Recyclables-Mixed Glass,Recyclables-Paper,Recyclables-Textiles,Recyclables Small Electrical,Non LCC Banks,Type,Tally of Sites,Cleaning,No of  Glass Banks,Apr 20 Glass Tonnage Kg,May 20 Glass Tonnage Kg,Jun 20 Glass Tonnage Kg,Jul 20 Glass Tonnage Kg,Aug 20 Glass Tonnage Kg,Sep 20 Glass Tonnage Kg,Oct 20 Glass Tonnage Kg,Nov 20 Glass Tonnage Kg,Dec 20 Glass Tonnage Kg,Jan 21 Glass Tonnage Kg,Feb 21 Glass Tonnage Kg,Mar 21 Glass Tonnage Kg
Ramada Jarvis,Otley Road,LS16 8AJ,Hotel,Adel and Wharfedale,Y,LS16,22178,72681049,53.867714,-1.592485,441355,426895,Y,,,,,Glass,1,,3,,,,,,,,,,,,
Rawdon and Guiseley Conservative Club,24 Leeds Road ,LS19 6NL,Social Club,Horsforth,Y,LS19,22180,72290489,53.850097,-1.681552,439365,421047,Y,,,,,Glass,1,,1,,,,,,,,,,,,
Rawdon Library/Micklefield House ,"New Road Side, Rawdon",LS19 6DF,Council Office,Guiseley and Rawdon,Y,LS19,22104,72553282,53.853345,-1.686194,439725,420740,Y,Y,,,,"Glass, Paper",1,,3,10210.73,20181.61,22980.66,14184.12,13882.45,,,,,,,
Red Lion,"Main Street, Shadwell",LS17 8HH,Pub,Harewood,Y,LS17,22183,72126400,53.854579,-1.484309,439940,434019,Y,,Y,,,"Glass, Textiles",1,,4,8451.47,12054.03,12107.16,11088.65,5275.21,,,,,,,
Roadside,"Cragside Cresent, Hawksworth",LS5 3QU,Roadside,Kirkstall,Y,LS5,22047,72028936,53.828137,-1.617031,436943,425305,Y,,,,,Glass,1,,,497.53,1535.56,,778.04,1062.8,,,,,,,
Roadside,"Fairfield Mount ( Stanningley Road), Bramley",LS13 3EQ,Road Side,Bramley and Stanningley,Y,LS13,23187,72066646,53.807236,-1.643528,434608,434608,Y,,,,,,,,,2147.64,1409.16,1561.05,1433.21,836.76,,,,,,,
Roadside,"Burton Row, (oppo. The Blooming Rose pub)",LS11 5NX,Roadside,Beeston and Holbeck,,LS11,23140,72033983,53.779602,-1.541354,431572,430321,Y,,,,,Glass,1,,1,432.17,167.86,613.43,,638.87,,,,,,,
Roadside,Cottingley Drive (nr Dulverton Square),LS11 0LL,Road Side,Beeston and Holbeck,,LS11,21971,,53.765875,-1.583917,430035,427525,Y,,Y,,,Glass,1,,1,803.94,,676.05,881.41,,,,,,,,
Roadside,Cottingley Drive (nr Dulverton Grove),LS11 0LD,Road Side,Beeston and Holbeck,,LS11,21972,,53.768372,1.587419,430305,427292,Y,,,,,Glass,1,,1,798.12,,338.03,440.71,,,,,,,,
Roadside,Cottingley Drive (nr Cottingley Fold),LS11 0JZ,Road Side,Beeston and Holbeck,,LS11,21973,,53.771104,1.58415,430610,427506,Y,,,,,Glass,1,,1,487.02,,169.01,0,,,,,,,,
Roadside,Nassau Place,LS7 4BX,Road Side,Chapel Allerton,Y,LS7,22125,72080927,53.815337,-1.529773,435553,431057,Y,,,,,Glass,1,,1,1627.39,984.47,1669.64,1608.59,1362.8,,,,,,,
Roadside,"Beech Avenue, Armley",LS12 3AH,Road Side,Armley,Y,LS12,22191,72741114,53.79769,1.589588,433565,427131,Y,,,,,Glass,1,,1,4803.5,2807.24,3989.76,1135.01,2463.56,,,,,,,
Roadside,"Weston Ridge, Otley",LS21 2EF,,,,,22206,,,,,,,,,,,,,,,,,,2313.35,,,,,,,,
Roadside,Corner of Tynwald Hill and Cranmer Bank,LS17 5NJ,Road Side,Moortown,Y,LS17,23170,72051470,53.847044,-1.557092,439069,429237,Y,,,,,Glass,1,,1,966.01,628.64,,1155.5,626.46,,,,,,,
Roadside,Headingley Mount,LS6 3JX,Road Side,Headingley,,LS6,22195,72094334,53.821471,-1.584439,436213,427454,Y,,Y,Y,,"Glass, textile, small electrical appliances",1,,1,1959.08,2015.6,2948.15,1820.89,1342.39,,,,,,,
Roadside,"Tranmere Court, Bradford Road",LS20 8NH,Road Side,Guiseley and Rawdon,,LS20,,,53.876644,-1.724981,442307,418179,,Y,,,,Paper,,,0,,,,,,,,,,,,
Roadside,Queens Road,   LS6 1HU,Road Side,Hyde Park and Woodhouse,,LS6,22198,72521987,53.807661,-1.570518,434682,428380,Y,,Y,Y,,"Glass, textile, small electrical appliances",1,,2,1259.01,1161.24,2018.04,784.94,752.98,,,,,,,
Roadside,Stanmore Hill,LS4 2PW,Road Side,Kirkstall,,LS6,22202,72113670,53.811674,-1.583583,435124,427517,Y,,Y,Y,,"Glass, textile, small electrical appliances",1,,1,2302.68,4348.57,3653.39,2836.72,2296.12,,,,,,,
Roadside,Vicarage Terrace,LS5 3HF,Road Side,Kirkstall,Y,LS5,22204,72221898,53.81884,-1.597572,435915,426591,Y,,,,,Glass,1,,1,2403.58,1866.85,2717.23,1440.98,1412.88,,,,,,,
Roadside,Temple View Road,LS9 9LH,Road Side,Halton,,LS9,22350,72766028,53.79579,-1.515381,433385,432020,Y,,,,,Glass,,,,327.21,568.73,859.77,86.2,,,,,,,,
Roadside,"Moorside Road, Driglington",BD11 1EP,Road Side,Morley North,Y,BD11,22109,72353516,53.753548,-1.656294,428631,422761,Y,,,,,Glass,1,,3,6069.01,6300.1,7078.9,5123.23,5872.76,,,,,,,
Roadside,Batcliffe Mount,LS6 3PW,Road Side,Weetwood,,LS6,22190,72192450,53.822377,-1.587959,436313,427222,Y,,,,,Glass,1,,1,4057.11,4042.49,6054.05,3751.22,3162.99,,,,,,,
Roadside,"1 - 3 Burley Road, Marston House",LS3 1JZ,Road Side,Burley,Y,LS3,22603,,,,,,Y,,,,,Glass,1,,1,,,,,,,,,,,,
Roadside,Woodhouse Street/Pennington Street,LS6 2JW,Road Side,Headingley,,LS6,,72157375,53.814344,-1.555288,435432,435432,,,Y,,,Textiles,1,,1,,,,,,,,,,,,
Roadside,Canterbury Drive,LS6 3DY,Road Side,Headingley,,LS6,22192,72115548,53.818451,-1.58904,435875,427153,Y,,,,,Glass,1,,1,1725.92,1129.44,2811.24,1845.66,1132.51,,,,,,,
Roadside,"Elland Road, Churwell Hill",LS27 7PT,Road Side,Morley North,Y,LS27,22193,72348866,53.758442,-1.593745,429197,426882,Y,,,,,Glass,1,,2,6895.54,9901.39,10057.34,7753.66,6403.62,,,,,,,
Roadside,"Eldon Court, St Marks Road",LS2 9BQ,Road Side,Hyde Park and Woodhouse,,LS2,22200,72725497,53.812286,-1.555302,435203,429379,Y,,,,,Glass,1,,1,1248.45,,649.32,492.42,362.14,,,,,,,
Roadside,"Street Lane, Gildersome",LS27 7JB,Road Side,Morley North,Y,LS27,22248,72356110,53.757762,-1.632362,429108,424336,Y,,,,,Glass,1,,3,9735.87,12514.38,11504.07,9974.88,7723.76,,,,,,,
Roadside,Stott Road,LS6 1DL,Road Side,Headingley,,LS6,22340,72169372,53.814881,-1.574543,435484,428110,Y,,Y,,,"Glass, textile",1,,1,1165.64,571.71,1628.42,627.24,476.86,,,,,,,
Roadside,"Station Lane, East Ardsley",WF3 2FJ,Road Side,Ardsley and Robin Hood,,WF3,22965,,53.733793,-1.535605,426478,430733,Y,,,,,Glass,1,,1,3211.95,5756.93,5425.21,5077.89,4089.3,,,,,,,
Roadside,Wakefield/Leeds Road,WF3 3LU,Road Side,Ardsley and Robin Hood,,WF3,22205,,53.720826,-1.49772,425053,433242,Y,,,,,Glass,1,,1,2139.03,2535.97,2006.66,1529.59,1460,,,,,,,
Roadside,"Old Bradford Road, Bradford Road",BD11 1EB,Road Side,Morley North,,BD11,22141,72352703,53.750579,-1.641586,428305,423732,Y,,,,,Glass,,,,422.1,530.72,1219.45,1368.35,1068.1,,,,,,,
Roadside,"Old Run Road, Belle Isle, Middleton",LS10 3AU,Road Side,City and Hunslet,Y,LS10,22109,72538053,53.771495,-1.535626,430673,430704,Y,,,,,Glass,1,,3,1209.51,929.48,1380.88,1382.42,517.74,,,,,,,
Roadside,Lingwell Gate Lane ,WF3 3BX,Road Side,Ardsley and Robin Hood,,WF3,22964,,53.735981,-1.522147,426728,431619,Y,,,,,Glass,1,,1,3266.02,4125.66,4216.94,5958.3,4085.66,,,,,,,
Roadside,Smithy Lane,WF3 1QQ,Road Side,Ardsley and Robin Hood,,WF3,23158,72363046,53.728193,-1.564004,425844,428863,Y,,,,,Glass,1,,2,7351.67,8883,10765.85,7845.56,5081.68,,,,,,,
Roadside,"Stanningley, Rossefield Lawn",LS13 3RU,Road Side,Bramley and Stanningley,Y,LS13,22212,72510531,53.80595,-1.6286823,434513,424527,Y,Y,,,,"Glass, Paper",1,,2,2651.69,2120.08,1900.82,,,,,,,,,
Roadside,Cartmell Drive ,LS15 0AR,Road Side,Temple Newsam,,LS15,22364,72086540,53.789019,-1.482673,432647,434180,Y,,,,,Glass,1,,1,344.52,366.88,180.47,345.64,345.16,,,,,,,
Roadside,"Oakwell Road, Drighlington",BD11 1DS,Roadside,Morley North,,BD11,22553,72352438,53.751996,-1.650567,428460,423139,Y,,,,,Glass,1,,2,930.48,1197.06,,334.24,172.37,,,,,,,
Roadside,Cross green Lane ,LS9 0BD,Road Side,Burmantofts and Richmond Hill,,LS9,22983,72054221,53.789184,-1.515647,432650,432007,Y,,,,,Glass,1,,1,163.6,173.46,186.6,,,,,,,,,
Roadside,"Village Green, Fewston Avenue/Cross Green Ln",LS9 0DD,Road Side,Burmantofts and Richmond Hill,,LS9,22276,72054113,53.789278,-1.519894,432658,431727,Y,,,,,Glass,1,,1,344.52,366.88,686.24,690.36,,,,,,,,
Roadside,"Weatherby Road Layby, south side",LS22 5DR,Road Side,Harwood,Y,LS22,Unknown,72390615,53.920776,-1.395264,447351,439813,,,,,,,,,,,,,,,,,,,,,
Roadside,Glossop Road / hartley Crescent,LS6 2LL,Road Side,Woodhouse,,LS6,,72092430,53.816636,-1.553018,435688,429526,,,Y,,,Textiles,1,,,,,,,,,,,,,,
Roadside,St Michaels Lane/ Stanmore Hill,LS6 3BR,Road Side,Headingley,,LS6,,72198657,53.810513,-1.58508,434993,427419,,,Y,,,Textiles  ,1,,,,,,,,,,,,,,
Roadside,Archery Road/Blenheim Square,LS2 9AU,Road Side,Woodhouse,,LS6,,72005069,53.808053,-1.548678,434735,429818,,,Y,Y,,"Textiles, WEE",1,,,,,,,,,,,,,,
Roadside,Bennett Road,LS6 3HN,Road Side,Headingley,,LS6,,72559009,53.82048,-1.577417,436106,436106,,,Y,,,Textiles,1,,,,,,,,,,,,,,
Roadside,Victoria Road,LS6 1AS,Road Side,Hyde Park and Woodhouse,,LS6,,72222298,53.814961,-1.564435,435497,428776,,,Y,,,Textiles,1,,,,,,,,,,,,,,
Roadside,Cottingley Drive (Cottingley Towers),LS11 0JH,Road Side,Beeston and Holbeck,,LS11,21973,,53.768673,-1.583092,430340,427577,Y,,,,,Glass,1,,1,,,,,,,,,,,,
Roadside,"Calverley Ln, Horsforth Vale, Leeds ",LS13 1NP,Road Side,Horsforth,,LS13,22336,,53.828618,-1.661343,436980,422391,Y,,,,,Glass,1,,,3748.02,5059.24,4041.57,2760.57,3053.46,,,,,,,
Roadside,Spring Road,LS6 3BW,Road Side,Headingley,,LS6,22323,72679662,53.815805,-1.57066,435588,428365,Y,,Y,,,"Glass, Textile",,,1,1695.04,1726.1,2405.41,1455.12,1499.85,,,,,,,
Roadside,"Weatherby Road Layby, north side",LS22 5DR,Road Side,Weatherby,Y,LS22,22348,72388485,,,,,Y,,,,,Glass,1,,2,13220.6,14075.36,16333.12,11754.95,14864.7,,,,,,,
Roadside,"Weatherby Road Layby 2, South Side",LS22 5DR,Road Side,Weatherby,Y,LS22,22348,72388485,53.918439,-1.395456,447198,439802,Y,,,,,Glass,1,,2,7299.63,11498.82,9380.85,11709.8,9106.18,,,,,,,
Roadside,"Beeston Road, Entrace to Park",LS11 7NA,Road Side,Beeston and Holbeck,Y,LS11,,,53.777112,-1.558704,431288,429179,Y,,,,,Glass,1,,1,1864.8,,,,,,,,,,,
Roadside,"Ghyll Royd, Guiseley, Yeadon, Leeds ",LS20 9LT,Road Side,Guiseley and Rawdon,Y,LS20,,72668472,53.867235,-1.706707,441265,419384,Y,,,,,Glass,1,,1,,4451.42,2709.87,4781.11,3239.89,,,,,,,
Roadside,"St, Peters Square ",LS9 8AH ,Road Side,City Centre,Y,LS9,,72573174,53.797228,-1.533471,433537,430827,Y,,,,,Glass,1,,1,,273.67,280.06,,254.91,,,,,,,
Roadside,Maude St' Car Park,LS2 7DJ,Road Side,City Centre,Y,LS2,,72562342,53.795087,-1.534698,433298,430748,Y,,,,,Glass,1,,1,132.81,,560.12,,,,,,,,,
Roadside,Armouries Way ,LS10 1PJ,Road Side,City and Hunslet,Y,LS10,,N/A,53.792685,-1.534359,433031,430772,Y,,,,,Glass,1,,1,1023.27,711.61,,,2277.59,,,,,,,
Roadside,Pepper Road,LS10 2AJ,Road Side,City and Hunslet,Y,LS10,,72565875,53.773553,-1.522028,430908,431599,Y,,,,,Glass,1,,1,496.56,993.98,1442.7,828.91,910.77,,,,,,,
Roadside,Garnet Place,LS11 5JF,Road Side,Beeston and Holbeck,Y,LS11,,72075857,53.775899,-1.542618,431179,430236,Y,,,,,Glass,1,,1,328.45,,456.95,456.73,,,,,,,,
Roadside ,"Robin Hood, Wakefield Road, Robin Hood",WF3 3BH,Road Side,Ardsley and Robin Hood,Y ,WF3,22199,72371985,53.736392,-1.506665,426781,432640,Y,,,,,Glass,1,,1,2139.03,2710.99,3544.97,2069.74,1657.01,,,,,,,
Roadside ,Atkinson Street,LS10 1QB,Road Side,City and Hunslet,,LS10,22391,,53.785038,-1.526284,432184,431310,Y,,,,,Glass,4,,,1390.42,1410.78,1154.7,1175.3,747.48,,,,,,,
Roadside ,"Brackenwood Drive, Bus Turning Circle",LS8 1QA,Road Side,Roundhay,Y,LS8,,72025505,53.832016,-1.522348,437412,431534,Y,,,,,Glass,1,,2,,,,,,,,,,,,
Roadside,Birch Drive,LS25 7DU,Road Side,Kippax and Methley,Y,LS25,,72326552,53.775224,-1.379297,431167,441004,Y,,,,,Glass,1,,3,,,,,2628.23,,,,,,,
Rocol,"Wakefield Road, Swillington",LS26 8BS,Business,Garforth and Swillington,,LS26,22209,72524885,53.770939,-1.416633,430669,438547,Y,,,,,Glass,1,,1,,,,,,,,,,,,
Rossefield Manor,Rossefield Lawn,LS13 3RU,Road Side,Bramley and Stanningley,,LS13,22212,72681490,53.807311,-1.628232,434622,424580,Y,Y,,,,"Glass, Paper",1,,,219.28,577.6,736.73,144.73,254.91,,,,,,,
Rothwell Athletic and Squash Club,"Royds Lane, Rothwell",LS26 0BE,Sports Club,Rothwell,Y,LS26,22213,72377624,53.746378,-1.47179,427908,434932,Y,,,,,Glass,1,,3,1859.67,1817.63,1672.24,2563.9,1867.92,,,,,,,
Rothwell Labour Club,"Fifth Avenue, Rothwell",LS26 0HG,Social Club,Rothwell,Y,LS26,22214,72376599,53.755863,-1.468243,428965,435158,Y,,,,,Glass,1,,2,815.91,578.6,762.07,,882.12,,,,,,,
Rothwell Leisure Centre,Wakefield Road,LS26 8EL,Leisure Centre,Rothwell,Y,LS26,22215,72556215,53.744221,-1.451772,427678,436254,Y,Y,,,,"Glass, Paper",1,,3,4441.57,5998.74,6117.95,5230.34,3780.01,,,,,,,
Rothwell W.M.C,"Marsh Street,Rothwell",LS26 0BB,Social Club,Rothwell,Y,LS26,22216,72377468,53.748039,-1.477562,428090,434550,Y,,,,,Glass,1,,1,178.15,,,86.27,,,,,,,,
Roundhay Park - Car Park,Princess Avenue,LS8 2ER,Car Park,Roundhay,Y,LS8,22217,72161903,53.837056,-1.504446,437981,432708,Y,,,,,Glass,1,,3,6842.2,11430.13,17191.2,13950.41,13075.11,,,,,,,
Royal Armouries Museum,Armouries Drive,LS10 1LT,Business,City and Hunslet,Y,LS10,22219,72672535,53.789749,-1.532335,432705,430907,Y,,,,,Glass,1,,3,,,244.45,,163.48,,,,,,,
Sainsburys,King Lane,LS17 5NY,Supermarket,Alwoodley,Y,LS17,22224,72505272,53.84409,-1.553836,438948,429702,Y,Y,Y,,,"Glass, Paper, Textiles",1,,10,37372.93,43144.57,46139.83,44034.52,36741.38,,,,,,,
Sainsburys,"11 Bondgate, Otley",LS21 3AB,Supermarket,Otley and Yeadon,Y,LS21,,72673452,53.902867,-1.692536,445233,420299,Y,Y,,,,"Glass, Paper",1,,4,,,,,,,,,,,,
Scarcroft Golf Club,Syke Lane,LS14 3BQ,Sports Club,Harewood,Y,LS14,22226,72388841,53.873111,-1.453388,442017,436037,Y,,,,,Glass,1,,3,,1702.62,1712.11,,1424.71,,,,,,,
Seacroft Village Hall,980 York Road,LS14 6JS,Community Centre,Killingbeck and Seacroft,,LS14,6,72241262,53.818413,-1.458353,435929,435757,Y,,,,,Glass,1,,1,336.1,482.12,,905.74,374.11,,,,,,,
Seacroft WMC,Ironwood View,LS14 6EW,Social Club,Killingbeck and Seacroft,Y,LS14,22230,72535235,53.814864,-1.468727,435529,435077,Y,,,,,Glass,1,,2,,84.17,,452.87,,,,,,,,
Sheepscar WMC,Savile Drive,LS7 3EJ,Social Club,Chapel Allerton,Y,LS7,22232,72700327,53.813911,-1.538012,435391,430516,Y,,,,,Glass,1,,1,,,,590.98,,,,,,,,
Sholebroke Mount,Chapeltown,LS7 3JG,Road Side,Chapel Allerton,,LS7,22233,72184850,53.819112,-1.538433,435969,430484,Y,,,,,Glass,1,,1,1656.89,1098.02,1326.07,1044.31,733.46,,,,,,,
South Leeds Conservative Club,"Wooler Street, Beeston",LS11 7JH,Social Club,Beeston and Holbeck,,LS11,22236,72237921,53.772184,-1.561869,430739,428974,Y,,,,,Glass,1,,2,,,,,1098.86,,,,,,,
South Leeds Stadium,Middleton Grove,LS11 5DJ,Leisure Centre,Middleton Park,,LS11,22237,72687558,53.764302,-1.541939,429870,430293,Y,,,,,Glass,1,,1,,,,,351.38,,,,,,,
Leeds University Main Car Park,"Ring Road, Weetwood",LS16 5AU,Sports Club,Adel and Wharfedale,,LS16,23092,72578999,53.838932,-1.590692,438154,427031,Y,,,,,Glass,1,,,,2242.93,,865.22,,,,,,,,
St Chads Parish Centre,"Otley Road, Far Headingley",LS16 5JT,Community Centre,Weetwood,,LS16,22240,72151740,53.828489,-1.584571,436994,427441,Y,,,,,Glass,1,,1,3487.02,1687.48,2828.46,2178.25,2304.12,,,,,,,
St Gemmas Hospice,329 Harrogate Road,LS17 6QD,Business,Moortown,Y,LS17,22241,72202182,53.84405,-1.508954,438757,432406,Y,,,,,Glass,1,,1,,,,,,,,,,,,
St James the Great Church,Galloway lane,LS28 8JR,Place of Worship,Calverley and Farsley,,LS28,23129,72277675,53.801866,-1.69165,433996,420406,Y,,,,,Glass,1,,1,2748.92,4321.83,5014.46,3946.79,3408.73,,,,,,,
St. Helenas Caravan Park,Otley Old Road,LS18 5HZ,Caravan Park,Adel and Wharfedale,,LS18,22243,72271114,53.875007,-1.635596,442151,424056,Y,,,,,Glass,1,,1,396.68,673.44,781.6,406.62,701.01,,,,,,,
Station Garden (closed),Linton Road,LS22 6SD,Transport,Wetherby,Y,LS22,22245,72674919,53.930128,-1.396444,448391,439727,Y,,,,,Glass,1,,5,9170.17,12617.31,12944.16,18261.13,7739.81,,,,,,,
Station Inn,"27 Henshaw Lane, Yeadon",LS19 7RZ,Pub,Otley and Yeadon,Y,LS19,22246,72303558,53.860821,-1.689149,440556,420542,Y,,,,,Glass,1,,1,,,,,,,,,,,,
Stump Cross Inn,"Britannia Road, Morley",LS27 0DD,Pub,Morley South,,LS27,22249,72349765,53.736799,-1.605608,426785,426113,Y,,,,,Glass,1,,1,775.35,,,,,,,,,,,
Swarcliffe WMC,Swarcliffe Avenue,LS14 5HD,Social Club,Cross Gates and Whinmoor,Y,LS14,22252,72542047,53.820552,-1.446507,436173,436535,Y,,,,,Glass,1,,3,2486.4,3027.39,1701.82,2717.23,2244.67,,,,,,,
Sweet Basil Valley formerly China Red,"Green Lane, Rawdon",LS19 7BY,Restaurant,Guiseley and Rawdon,Y,LS19,21954,72564759,53.857743,-1.687575,440214,420647,Y,,,,,Glass,1,,1,1046.55,1641.46,2572.39,1356.81,1545.73,,,,,,,
Swillington Miners Welfare Club,9 Wakefield Road. Swillington,LS26 8DT,Social Club,Garforth and Swillington,,LS26,22253,72329991,53.767035,-1.41963,430233,438353,Y,,,,,Glass,1,,1,943.08,657.27,529.72,894.24,428.11,,,,,,,
Swillington Social Club,"Astley Lane, Swilllington",LS26 8UE,Social Club,Garforth and Swillington,Y,LS26,22255,72329401,53.766185,-1.418535,430139,438426,Y,,,,,Glass,1,,1,164.5,,,690.15,,,,,,,,
Temple Newsam Golf,"Temple Newsam Park Club House, Templenewsam Road, Halton",LS15 0LN,Business,Temple Newsam,Y,LS15,22260,72551547,53.791027,-1.472656,432875,434838,Y,,,,,Glass,1,,1,,730.92,,778.47,,,,,,,,
Tescos,"Aberford Road, Garforth",LS25 2DX,Supermarket,Garforth and Swillington,Y,LS25,22261,72563522,53.797395,-1.383123,433631,440730,Y,Y,Y,,,"Glass, Paper and Textiles",1,,6,14442.86,17874.95,21094.72,19421.39,19046.82,,,,,,,
Tescos,"Seacroft Green Shopping Centre, York Road",LS14 6JD,Supermarket,Killingbeck and Seacroft,Y,LS14,22262,72507829,53.821641,-1.460651,436287,435603,Y,Y,Y,,,"Glass, Paper and Textiles",1,,6,19970.02,25517.09,25813.55,23678.69,23090.85,,,,,,,
Tescos,Roundhay Road,LS8 4BU,Supermarket,Roundhay,Y,LS8,22263,72175056,53.822693,-1.51089,436380,432295,Y,Y,Y,,,"Glass, Paper and Textiles",1,,12,29745.84,39492.89,35465.58,30459.53,27973.04,,,,,,,
The Albion Pub,Clifford,LS23 6HU,Pub,Wetherby,Y,LS23,21904,72546748,53.896598,-1.349051,444688,442873,Y,,,,,Glass,1,,1,,556.35,,511.63,,,,,,,,
The Anglers Club,75 Stoney Rock Lane,LS9 7TB,Social Club,Burmantofts and Richmond Hill,,LS9,21908,72142755,53.801174,-1.524183,433980,431436,Y,,,,,Glass,1,,1,,,,,,,,,,,,
The Arkle Pub,"Springfield Avenue, Morley",LS27 9PP,Pub,Morley North,,LS27,21909,72359594,53.753444,-1.607833,428636,425956,Y,,,,,Glass,1,,1,,1130.1,1314.05,501.36,723.8,,,,,,,
The Barnbow Pub,Austhorpe Road,LS15 8EH,Pub,Cross Gates and Whinmoor,Y,LS15,21913,72010351,53.807989,-1.443044,434777,436774,Y,,,,,Glass,1,,1,,658.16,,622.72,,,,,,,,
The Beacon Pub,"Broard Lane, Bramley",LS13 3ER,Pub,Bramley and Stanningley,,LS13,21916,72027942,53.811951,-1.643099,435133,423598,Y,,,,,Glass,1,,,420.36,697.85,157.28,289.47,274.72,,,,,,,
The Boundry House (former Rose & Crown),"24 Church Side, Methley",LS26 9EE,Pub,Kippax and Methley,Y,LS26,22101,72379293,53.73479,-1.409675,426651,439039,Y,,,,,Glass,1,,3,,,,,,,,,,,,
The Brownlee (former Grey Horse Public House),"Long Row, Horsforth",LS18 5AA,Pub,Horsforth,Y,LS18,22039,72307672,53.842434,-1.635559,438527,424077,Y,,,,,Glass,1,,1,1349.06,2099.54,2320.63,813.39,1106.89,,,,,,,
The Dalesman,"Old Farm Approach, Butcher Hill",LS16 5EA,Pub,Kirkstall,,LS16,23089,72530118,53.833205,-1.606174,437511,426016,Y,,,,,Glass,1,,1,2871.86,1477.73,3194.54,2582.42,1724.19,,,,,,,
The Fleece Pub,New Road Side,LS18 4DT,Pub,Horsforth,,LS18,22010,72553034,53.833627,-1.648005,437543,423263,Y,,,,,Glass,1,,1,2092.51,2534.47,2463.7,1536.6,1536.69,,,,,,,
The Fleece Public House,Town Street,LS28 5LF,Pub,Calverley and Farsley,,,22343,72276349,53.814967,-1.670184,435460,421813,Y,,,,,Glass,,,,2364.07,2088.58,1385.11,978.57,982.1,,,,,,,
Ramshead Hill Shops - LS14 Shops,Kentmere Avenue,LS14 1BA,Pub,Killingbeck and Seacroft,Y,LS14,22028,72108814,53.826362,-1.469037,436808,435047,Y,,,,,Glass,1,,3,1864.8,2033.84,1867.98,2353.9,1308.74,,,,,,,
The Golden Fleece,Upper Wortley Road,LS12 4JJ,Pub,Farnley and Wortley,,LS12,22036,72220513,53.791629,-1.592601,432890,426936,Y,,,,,Glass,1,,1,4427.29,6510.75,6451.61,5927.48,5179.44,,,,,,,
The Hollies - Bramley Liberal Club,Hough Lane,LS13 3NE,Social Club,Bramley and Stanningley,Y,LS13,22054,72102513,53.811471,-1.630239,435084,424445,Y,,,,,Glass,1,,1,,,,,,,,,,,,
The Lord Darcy,618 Harrogate Road,LS17 8EH,Pub,Alwoodley,Y,LS17,22090,72534303,53.856286,-1.530111,440109,431005,Y,,,,,Glass,1,,1,1669.22,1034.16,1920.76,1268.98,1657.14,,,,,,,
The Marsh Inn,"70 Uppermoor, Pudsey  ",LS28 7EX,Pub,Pudsey,Y,LS28,22094,72557564,53.794639,-1.678071,433196,421304,Y,,,,,Glass,1,,1,,,314.56,,,,,,,,,
The Midway,"111 Queensway, Yeadon",LS19 7PL,Pub,Otley and Yeadon,Y,LS19,22106,72293978,53.871096,-1.693331,441698,420262,Y,,,,,Glass,1,,1,2180.7,2621.46,3730.62,10313,1977.09,,,,,,,
The Moorgate Car Park,"Leeds Road, Kippax",LS25 7EP,Pub,Kippax and Methley,Y,LS25,22108,72555959,53.773888,-1.37403,431021,441352,Y,,,,,Glass,1,,3,5439.38,6223.91,2085.41,,,,,,,,,
The Mustard Pot,20 Stainbeck Lane,LS7 3QY,Pub,Chapel Allerton,y,LS7,22349,72196111,53.82919,-1.540153,437090,430364,Y,,,,,Glass,1,,,,,,640.76,,,,,,,,
The Nags Head,Stonebrige Lane,LS12 5AQ,Pub,Farnley and Wortley,Y,LS12,22124,72550640,53.787873,-1.620414,432462,425106,Y,,,,,Glass,1,,3,1874.96,700.32,,,1643.03,,,,,,,
The Needless Public House,"Scotchman Lane, Morley",LS27 0NZ,Pub,Morley South,,LS27,22126,72351381,53.726283,-1.625197,425608,424827,Y,,,,,Glass,1,,1,,,,,,,,,,,,
The New Inn,"Berry Lane, Great Preston",LS26 8AX,Pub,Garforth and Swillington,Y,LS26,22129,72328122,53.760719,-1.391154,429546,440236,Y,,,,,Glass,1,,1,,386.77,86.89,681.17,,,,,,,,
The New Middleton (former Middleton Social Club),Thorpe Street ,LS10 4HD,Social Club,Middleton Park,,LS10,22133,72241915,53.743295,-1.543866,427532,430181,Y,,,,,Glass,1,,3,,,,,,,,,,,,
The New Rosco (closed),Bristol Street,LS7 1 DH,Pub,City and Hunslet,,LS7,22135,72559365,53.805127,-1.532657,434416,430875,Y,,,,,Glass,1,,2,,,,,,,,,,,,
The New Scarborough Inn,"47 Dewsbury Road, Tingley",WF3 1LH,Pub,Morley South,,WF3,22136,72546348,53.729575,-1.579923,425991,427812,Y,,,,,Glass,1,,1,344.52,366.88,180.47,518.46,714.76,,,,,,,
The Nook ,"Heights Drive, Armley                       ",LS12 3SU,Pub,Farnley and Wortley,,LS12,22357,72734299,53.795812,-1.615363,433347,425434,Y,,,,,Glass,1,,1,222.55,,525.38,541.07,,,,,,,,
The Orchard (former Grange Public House),Dib Lane,LS8 3HL,Pub,Killingbeck and Seacroft,Y,LS8,22996,72058017,53.821992,-1.487337,436313,433846,Y,,,,,Glass,1,,1,0,336.72,142.68,,416.61,,,,,,,
